"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"RICHMOND NATURE PARK","BC"," 49°10'15.000"" N","123°05'35.000"" W","3.0 m","1106PF7","",""

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.0","4.9","7.3","10.0","13.3","16.1","18.3","18.2","15.0","10.3","6.0","3.4","10.6","C"
"Standard Deviation","1.7","1.5","1.1","1.1","1.0","0.9","1.0","0.8","1.0","0.9","1.8","1.6","1.5","C"
"Daily Maximum (°C)","7.0","8.9","11.9","15.1","18.6","21.3","23.9","24.0","20.3","14.3","9.1","6.3","15.1","C"
"Daily Minimum (°C)","0.9","0.8","2.7","4.8","8.0","10.8","12.6","12.5","9.6","6.2","2.8","0.4","6.0","C"
"Extreme Maximum (°C)","16.5","19.5","24.0","28.5","34.5","32.0","34.0","33.0","31.5","26.0","18.5","14.0","",""
"Date (yyyy/dd)","1981/20","1986/27","2004/29","1987/27","1983/29","1987/30","1998/27","1977/17","1988/03","1980/05","1980/04","1980/25",""," "
"Extreme Minimum (°C)","-15.0","-14.0","-7.0","-2.0","0.0","0.0","4.0","4.0","1.0","-6.0","-15.5","-16.5","",""
"Date (yyyy/dd)","1980/29","1989/03","1989/03","1979/01","1978/05","1977/09","1979/03","1985/20","1983/29","1984/31","1985/28","1978/30",""," "
"Precipitation"
"Rainfall (mm)","167.3","107.9","109.8","95.3","71.9","62.2","37.2","40.1","56.8","126.8","196.8","155.7","1227.8","C"
"Snowfall (cm)","11.3","7.0","2.3","0.2","0.0","0.0","0.0","0.0","0.0","0.3","2.5","11.0","34.6","C"
"Precipitation (mm)","178.6","114.9","112.2","95.4","71.9","62.2","37.2","40.1","56.8","127.2","199.3","166.7","1262.4","C"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Extreme Daily Rainfall (mm)","61.0","47.8","51.4","40.4","32.0","37.4","32.6","44.4","40.4","93.8","54.2","74.2","",""
"Date (yyyy/dd)","2005/18","1982/13","1997/18","1997/19","1989/17","1984/28","1995/25","1991/29","1986/22","2003/16","1980/20","1979/16",""," "
"Extreme Daily Snowfall (cm)","21.0","20.0","22.0","4.0","0.0","0.0","0.0","0.0","0.0","5.0","10.6","24.0","",""
