"","period","season","NEEgC_f_RF","RecogC","GPPgC_f_RF","CH4_gC_RF"
"1","2015-2016","growing season",-48.2135483098349,385.893183699181,434.106732009015,13.0596244858263
"2","2015-2016","non-growing season",5.85354255043949,190.794088340566,184.940545790126,4.52234143929079
"3","2016-2017","growing season",-74.2885563009148,316.072901449874,390.361457750789,15.8960188541401
"4","2016-2017","non-growing season",104.647746395063,187.466761014743,82.8190146196809,2.0554229739128
"5","2017-2018","growing season",-62.1950480038461,317.819835444155,380.014883448001,11.2040255176445
"6","2017-2018","non-growing season",55.0577455941837,116.170827146519,61.1130815523352,2.26877668318808
"7","2018-2019","growing season",-57.6538248974733,284.905288413683,342.559113311156,10.9364259962723
"8","2018-2019","non-growing season",22.7178223302845,89.3091275362284,66.5913052059438,1.66246363760019
"9","2019-2020","growing season",-73.9189038694839,255.695306878324,329.614210747808,9.96181954862343
"10","2019-2020","non-growing season",64.0712453643783,116.210775436067,52.1395300716886,1.77442119038229
"11","2020-2021","growing season",-35.1760956521811,286.28964421385,321.465739866031,11.0400709445568
"12","2020-2021","non-growing season",47.2891109326414,97.6887449356187,50.3996340029773,2.21764796146531
